證券代碼,年月,單月營收(千元),去年單月營收(千元),單月營收成長率％,單月營收與上月比％,累計營收成長率％,近 3月累計營收(千元),近12月累計營收(千元),近12月累計營收成長率,近3月累計營收成長率,單月每股營收(元),近12月每股營收,近 3月每股營收,累計每股營收(元)
1101 台泥,201401,9801691,9134465,7.3,-14.15,7.3,32419436,116824517,1,13.35,2.65,31.64,8.78,2.65
1101 台泥,201402,6087866,5540346,9.88,-37.89,8.28,27306214,117372037,3.66,11.48,1.65,31.79,7.4,4.3
1101 台泥,201403,10834889,9457971,14.56,77.98,10.74,26724446,118748955,5.56,10.74,2.93,32.16,7.24,7.24
1101 台泥,201404,11561838,9919269,16.56,6.71,12.43,28484593,120391524,7.01,14.32,3.13,32.61,7.71,10.37
1101 台泥,201405,10625467,9543782,11.33,-8.1,12.19,33022194,121473209,8.4,14.18,2.88,32.9,8.94,13.25
1101 台泥,201406,9677933,9517630,1.68,-8.92,10.31,31865238,121633512,8.4,9.95,2.62,32.94,8.63,15.87
1101 台泥,201407,10327799,9875888,4.58,6.71,9.41,30631199,122085423,8.7,5.85,2.8,33.07,8.3,18.67
1101 台泥,201408,9951133,9835143,1.18,-3.65,8.3,29956865,122201413,8.55,2.49,2.7,33.1,8.11,21.36
1101 台泥,201409,9816025,10060975,-2.43,-1.36,7,30094957,121956463,7.79,1.08,2.66,33.03,8.15,24.02
1101 台泥,201410,10429319,10654077,-2.11,6.25,5.96,30196477,121731705,7.72,-1.16,2.82,32.97,8.18,26.84
1101 台泥,201411,9298656,11201088,-16.98,-10.84,3.51,29544000,119829273,4.6,-7.43,2.52,32.45,8,29.36
1101 台泥,201412,9913147,11416657,-13.17,6.61,1.87,29641122,118325763,1.87,-10.91,2.68,32.05,8.03,32.05
1101 台泥,201501,8921719,9801691,-8.98,-10,-8.98,28133522,117445791,0.53,-13.22,2.42,31.81,7.62,2.42
1101 台泥,201502,4823318,6087866,-20.77,-45.94,-13.5,23658184,116181243,-1.01,-13.36,1.31,31.47,6.41,3.72
1101 台泥,201503,7695107,10834889,-28.98,59.54,-19.77,21440144,113041461,-4.81,-19.77,2.08,30.62,5.81,5.81
1101 台泥,201504,8468346,11561838,-26.76,10.05,-21.88,20986771,109947969,-8.67,-26.32,2.29,29.78,5.68,8.1
