股票代號,n_estimators,learning_rate,max_depth,min_child_weight,reg_lambda,gamma
2880,13,0.6,1,1,4,1
2881,5,0.3,4,2,2,1
2882,5,0.4,2,5,4,1
2883,100,0.6,5,5,4,0
2885,10,0.3,5,4,5,1
2886,13,0.3,5,3,5,1
2887,300,0.3,1,1,5,0
2890,12,0.3,1,2,1,1
2891,600,0.3,5,2,1,0
2892,12,0.7,7,3,1,1
3008,300,0.5,8,2,1,0
5880,13,0.5,4,3,1,1
6506,7,0.5,1,3,1,0
9910,13,0.5,2,2,2,1
1101,300,0.3,3,1,1,0
1216,220,0.09,6,1,1,0
1301,42,0.12,4,1,1,0
1303,38,0.13,2,1,1,0
1326,29,0.16,5,1,1,0
2002,41,0.12,2,1,1,0
2317,200,0.17,6,1,1,0
2207,50,0.3,4,2,1,0
2227,30,0.12,5,0,1,0
2330,19,0.16,7,1,1,0
2357,50,0.14,4,1,1,0
2382,31,0.21,4,1,1,0
2303,32,0.24,5,2,1,0
2308,31,0.22,5,2,1,0
2327,40,0.26,4,1,1,0
2352,30,0.17,5,3,1,0
2379,40,0.3,5,3,1,0
2395,32,0.16,5,3,1,0
2408,45,0.12,4,3,1,0
2409,38,0.3,4,3,1,0
2412,30,0.15,2,2,1,0
2454,27,0.16,1,1,1,0
2603,40,0.18,5,2,0,0
2609,30,0.13,2,2,3,0
2610,35,0.22,3,1,1,0
2616,35,0.13,3,1,1,0
2801,30,0.25,6,1,0,0
2884,31,0.23,5,1,1,0
2912,30,0.18,2,1,0,0
3034,35,0.29,6,1,0,0
3037,32,0.17,6,1,0,0
3045,30,0.27,6,1,0,0
5876,30,0.14,1,4,0,0
8046,29,0.11,3,4,11,0
4904,40,0.3,6,1,3,0
